snapshot_date,centrality_type,rank,state,value
1989-06,degree,1,OH,0.3673
1989-06,degree,2,TN,0.3673
1989-06,degree,3,WI,0.3061
1989-06,degree,4,IN,0.2449
1989-06,degree,5,CA,0.2245
1989-06,betweenness,1,OH,0.4115
1989-06,betweenness,2,TN,0.2418
1989-06,betweenness,3,RI,0.2272
1989-06,betweenness,4,WI,0.2034
1989-06,betweenness,5,CA,0.1413
1989-06,eigenvector,1,TN,0.3837
1989-06,eigenvector,2,OH,0.3806
1989-06,eigenvector,3,WI,0.3051
1989-06,eigenvector,4,IN,0.2801
1989-06,eigenvector,5,CA,0.2211
1990-10,degree,1,TN,0.3469
1990-10,degree,2,WI,0.3061
1990-10,degree,3,KY,0.2449
1990-10,degree,4,PA,0.2449
1990-10,degree,5,VA,0.2041
1990-10,betweenness,1,TN,0.3986
1990-10,betweenness,2,CA,0.232
1990-10,betweenness,3,WA,0.2231
1990-10,betweenness,4,WI,0.1966
1990-10,betweenness,5,PA,0.1722
1990-10,eigenvector,1,TN,0.3935
1990-10,eigenvector,2,WI,0.3497
1990-10,eigenvector,3,PA,0.2935
1990-10,eigenvector,4,KY,0.2808
1990-10,eigenvector,5,WA,0.2375
2000-06,degree,1,WV,0.4082
2000-06,degree,2,PA,0.3469
2000-06,degree,3,KY,0.2653
2000-06,degree,4,VA,0.2653
2000-06,degree,5,ID,0.2245
2000-06,betweenness,1,WV,0.4344
2000-06,betweenness,2,PA,0.2785
2000-06,betweenness,3,KY,0.2079
2000-06,betweenness,4,ID,0.1802
2000-06,betweenness,5,VA,0.1101
2000-06,eigenvector,1,WV,0.42
2000-06,eigenvector,2,PA,0.363
2000-06,eigenvector,3,VA,0.2703
2000-06,eigenvector,4,ID,0.2398
2000-06,eigenvector,5,TX,0.2074
2001-07,degree,1,VA,0.3673
2001-07,degree,2,TN,0.3061
2001-07,degree,3,CO,0.2653
2001-07,degree,4,UT,0.2653
2001-07,degree,5,MA,0.2245
2001-07,betweenness,1,VA,0.4434
2001-07,betweenness,2,TN,0.2096
2001-07,betweenness,3,PA,0.143
2001-07,betweenness,4,CO,0.1246
2001-07,betweenness,5,WA,0.1097
2001-07,eigenvector,1,VA,0.3908
2001-07,eigenvector,2,TN,0.2909
2001-07,eigenvector,3,CO,0.2754
2001-07,eigenvector,4,UT,0.2584
2001-07,eigenvector,5,FL,0.248
2007-01,degree,1,VA,0.3265
2007-01,degree,2,CO,0.3061
2007-01,degree,3,UT,0.2857
2007-01,degree,4,TX,0.2653
2007-01,degree,5,WA,0.2449
2007-01,betweenness,1,CO,0.2647
2007-01,betweenness,2,VA,0.2299
2007-01,betweenness,3,UT,0.227
2007-01,betweenness,4,WA,0.2112
2007-01,betweenness,5,OR,0.1492
2007-01,eigenvector,1,CO,0.3343
2007-01,eigenvector,2,WA,0.3092
2007-01,eigenvector,3,VA,0.3061
2007-01,eigenvector,4,UT,0.2738
2007-01,eigenvector,5,TX,0.2534
2009-01,degree,1,OH,0.4286
2009-01,degree,2,OR,0.4082
2009-01,degree,3,CA,0.2857
2009-01,degree,4,IN,0.2857
2009-01,degree,5,KY,0.2653
2009-01,betweenness,1,OH,0.339
2009-01,betweenness,2,OR,0.2445
2009-01,betweenness,3,IN,0.1899
2009-01,betweenness,4,TN,0.1713
2009-01,betweenness,5,KY,0.1465
2009-01,eigenvector,1,OH,0.3852
2009-01,eigenvector,2,OR,0.3686
2009-01,eigenvector,3,IN,0.3044
2009-01,eigenvector,4,KY,0.2767
2009-01,eigenvector,5,WI,0.2316
2019-12,degree,1,CA,0.6327
2019-12,degree,2,AZ,0.2653
2019-12,degree,3,IN,0.2449
2019-12,degree,4,MO,0.2245
2019-12,degree,5,RI,0.2245
2019-12,betweenness,1,CA,0.6401
2019-12,betweenness,2,PA,0.1411
2019-12,betweenness,3,IN,0.0924
2019-12,betweenness,4,RI,0.079
2019-12,betweenness,5,AZ,0.0699
2019-12,eigenvector,1,CA,0.5134
2019-12,eigenvector,2,AZ,0.243
2019-12,eigenvector,3,IN,0.2255
2019-12,eigenvector,4,TN,0.2203
2019-12,eigenvector,5,MO,0.2124
2020-06,degree,1,NJ,0.2041
2020-06,degree,2,KS,0.1837
2020-06,degree,3,MD,0.1837
2020-06,degree,4,MO,0.1837
2020-06,degree,5,MT,0.1837
2020-06,betweenness,1,MT,0.3455
2020-06,betweenness,2,OH,0.334
2020-06,betweenness,3,KS,0.3063
2020-06,betweenness,4,HI,0.2963
2020-06,betweenness,5,TN,0.1763
2020-06,eigenvector,1,MT,0.2989
2020-06,eigenvector,2,MO,0.2791
2020-06,eigenvector,3,KS,0.2673
2020-06,eigenvector,4,OK,0.2648
2020-06,eigenvector,5,AZ,0.2293
